tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
1,500,500,130.0,65,65,5735,200,441.3999999999999,441.3999999999999,88.24999999999991,88.24999999999991,5091,0,0.91083,0.91083
501,1000,500,688.0,344,409,5392,199,808.8499999999999,794.5999999999999,112.49999999999983,181.8999999999997,7199,0,1.0,0.955415
1001,1500,500,798.0,399,808,4993,199,1146.0499999999997,1053.0,127.0,306.19999999999993,8751,0,1.0,0.9702766666666665
1501,2000,500,810.0,405,1213,4589,198,1540.9999999999993,1207.5999999999995,129.19999999999993,379.09999999999997,9568,0,1.0,0.9777075000000001
2001,2500,500,666.0,333,1546,4254,200,1961.4,1590.75,152.04999999999998,507.15,11351,0,1.0,0.9821660000000001
2501,3000,500,614.0,307,1853,3948,199,2633.1,1990.9999999999993,131.0,602.0999999999999,10101,0,1.0,0.9851383333333333
3001,3500,500,566.0,283,2136,3664,200,3032.7,2459.0,121.09999999999997,704.05,10197,0,1.0,0.9872614285714286
3501,4000,500,544.0,272,2408,3392,200,3556.4499999999994,2823.65,104.04999999999998,786.3,8719,0,1.0,0.98885375
4001,4500,500,532.0,266,2674,3126,200,4073.25,3359.849999999999,109.04999999999998,847.8499999999997,8191,0,1.0,0.9900922222222222
4501,5000,500,500.0,250,2924,2877,199,4634.499999999999,3646.85,101.04999999999998,919.8999999999994,7618,0,1.0,0.9910830000000002
5001,5500,500,478.0,239,3163,2637,200,4907.5,4017.7999999999993,82.04999999999998,999.0999999999999,6892,0,1.0,0.9918936363636364
5501,6000,500,464.0,232,3395,2405,200,5517.0,4459.499999999998,80.04999999999998,1070.35,6587,0,1.0,0.9925691666666667
6001,6500,500,458.0,229,3624,2176,200,5918.2,4841.0,68.0,1129.9499999999996,5671,0,1.0,0.9931407692307692
6501,7000,500,464.0,232,3856,1944,200,6516.5,5300.25,65.04999999999998,1192.3,5583,0,1.0,0.9936307142857143
7001,7500,500,444.0,222,4078,1722,200,6996.4,5736.449999999999,64.09999999999997,1233.1499999999996,5745,0,1.0,0.9940553333333335
7501,8000,500,440.0,220,4298,1503,199,7530.3,6078.299999999999,69.0,1286.4499999999998,6272,0,1.0,0.994426875
8001,8500,500,408.0,204,4502,1298,200,8047.0,6523.9,75.0,1350.1999999999998,6612,0,1.0,0.9947547058823529
8501,9000,500,396.0,198,4700,1100,200,8479.5,6888.200000000001,74.04999999999998,1395.35,6260,0,1.0,0.9950461111111111
9001,9500,500,366.0,183,4883,917,200,8890.65,7236.299999999997,97.19999999999993,1455.05,6640,0,1.0,0.9953068421052632
9501,10000,500,416.0,208,5091,709,200,9387.6,7584.0,74.19999999999993,1504.3,5275,0,1.0,0.9955415000000001
10001,10500,500,382.0,191,5282,519,199,10023.0,8086.449999999998,58.0,1547.3,4430,0,1.0,0.9957538095238095
10501,11000,500,352.0,176,5458,342,200,10591.0,8641.499999999996,115.5999999999998,1609.4999999999995,7740,0,1.0,0.9959468181818181
11001,11500,500,226.0,113,5571,229,200,11053.85,9061.5,116.04999999999998,1696.3,8824,0,1.0,0.996123043478261
11501,12000,500,336.0,168,5739,61,200,11377.95,9764.199999999999,121.09999999999997,1761.3999999999992,7358,0,1.0,0.9962845833333333
12001,12500,500,350.0,175,5914,0,86,11940.5,10199.449999999997,63.099999999999966,1819.1999999999998,3611,0,0.8339300000000001,0.9897904
12501,13000,500,168.0,84,5998,0,2,12336.1,10425.449999999999,12.0,1820.0999999999997,323,0,0.21850999999999998,0.9601257692307692
13001,13500,500,4.0,2,6000,0,0,7463.3,10425.150000000001,0.0,1820.0999999999997,0,0,0.0039000000000000003,0.92471
13501,14000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.8916846428571429
14001,14500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.8609368965517241
14501,15000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.8322390000000002
15001,15500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.8053925806451613
15501,16000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.7802240624999999
16001,16500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.756580909090909
16501,17000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.734328529411765
17001,17500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.7133477142857143
17501,18000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.6935325
