tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
1,500,500,180.0,90,90,11710,200,464.1,464.1,80.14999999999995,80.14999999999995,5348,0,0.9588599999999999,0.9588599999999999
501,1000,500,808.0,404,494,11306,200,846.9,841.3499999999999,98.54999999999981,167.04999999999998,6961,0,1.0,0.97943
1001,1500,500,944.0,472,966,10834,200,1216.9999999999995,1158.0,142.14999999999995,320.19999999999993,9627,0,1.0,0.9862866666666666
1501,2000,500,956.0,478,1444,10358,198,1545.0999999999997,1339.5499999999997,161.14999999999995,450.7999999999997,12212,0,1.0,0.9897149999999999
2001,2500,500,856.0,428,1872,9928,200,2095.2,1673.8999999999996,209.0,616.05,16267,0,1.0,0.9917720000000001
2501,3000,500,648.0,324,2196,9605,199,2560.3999999999996,2061.75,233.14999999999995,807.0,19626,0,1.0,0.9931433333333334
3001,3500,500,776.0,388,2584,9216,200,3151.1,2562.7,173.34999999999988,913.3,12327,0,1.0,0.9941228571428572
3501,4000,500,578.0,289,2873,8929,198,3523.999999999999,2878.2000000000007,214.24999999999991,1078.1,18148,0,1.0,0.9948575
4001,4500,500,600.0,300,3173,8628,199,4016.1,3186.5999999999985,178.0,1192.6,15427,0,1.0,0.9954288888888888
4501,5000,500,716.0,358,3531,8269,200,4554.049999999999,3660.5,174.14999999999995,1289.0,11572,0,1.0,0.995886
5001,5500,500,530.0,265,3796,8005,199,5075.4,4043.25,196.2999999999999,1466.4499999999998,16587,0,1.0,0.99626
5501,6000,500,520.0,260,4056,7745,199,5503.8,4440.0,201.09999999999997,1580.6999999999998,18569,0,1.0,0.9965716666666666
6001,6500,500,538.0,269,4325,7475,200,5994.8,4918.8,165.04999999999998,1697.1,13412,0,1.0,0.9968353846153846
6501,7000,500,664.0,332,4657,7145,198,6628.8,5453.4,178.04999999999998,1777.25,13489,0,1.0,0.9970614285714285
7001,7500,500,544.0,272,4929,6871,200,7105.099999999999,5863.999999999997,197.34999999999988,1896.9499999999996,14180,0,1.0,0.9972573333333333
7501,8000,500,524.0,262,5191,6609,200,7554.75,6261.5,205.5999999999998,2002.0499999999997,16047,0,1.0,0.99742875
8001,8500,500,488.0,244,5435,6365,200,7892.55,6569.3,185.14999999999995,2091.6,15294,0,1.0,0.9975799999999999
8501,9000,500,504.0,252,5687,6114,199,8516.9,6981.999999999998,210.04999999999998,2248.15,17600,0,1.0,0.9977144444444446
9001,9500,500,492.0,246,5933,5867,200,8944.8,7419.5999999999985,191.24999999999991,2367.05,16180,0,1.0,0.9978347368421053
9501,10000,500,488.0,244,6177,5623,200,9450.15,7755.599999999999,187.04999999999998,2463.15,16318,0,1.0,0.997943
10001,10500,500,466.0,233,6410,5390,200,9943.4,8156.499999999993,169.04999999999998,2574.0,15720,0,1.0,0.9980409523809525
10501,11000,500,446.0,223,6633,5167,200,10535.95,8763.0,171.04999999999998,2682.7499999999995,15111,0,1.0,0.9981299999999999
11001,11500,500,444.0,222,6855,4945,200,11060.9,9401.299999999992,144.04999999999998,2803.7499999999995,13699,0,1.0,0.998211304347826
11501,12000,500,460.0,230,7085,4715,200,11592.0,9968.599999999988,153.0,2858.2499999999995,13665,0,1.0,0.9982858333333333
12001,12500,500,434.0,217,7302,4498,200,12125.2,10432.8,182.14999999999995,3001.3999999999996,14134,0,1.0,0.9983544000000001
12501,13000,500,440.0,220,7522,4278,200,12656.55,10897.849999999999,202.09999999999997,3148.05,15849,0,1.0,0.9984176923076923
13001,13500,500,400.0,200,7722,4078,200,13213.25,11356.95,183.34999999999988,3219.05,14188,0,1.0,0.9984762962962962
